epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
71,59365.1,1.21052,1.98505,0.92381,0.00364,0.97003,0.77663,0.7196,0.78994,0.56115,0.77147,0.69602,0.75572,0.45862,1.20565,1.91659,0.93857,0.00626,0,0.0113065,0.00376885,0.0113065,0.00376885,0.0113065,0.00376885,0.0113065,0.00376885
72,60193,1.20667,1.97898,0.92507,0.00365,0.96559,0.77376,0.72307,0.79068,0.56143,0.77081,0.69577,0.75678,0.45932,1.20469,1.91493,0.93729,0.00625,0,0.0109324,0.00364412,0.0109324,0.00364412,0.0109324,0.00364412,0.0109324,0.00364412
73,61023,1.21143,1.98691,0.92528,0.00362,0.95584,0.77723,0.72273,0.79196,0.56246,0.77045,0.69814,0.75787,0.46016,1.20426,1.91438,0.9355,0.00625,0,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037
74,61861.6,1.20851,1.97621,0.92328,0.00366,0.95203,0.76981,0.72569,0.79288,0.56305,0.77443,0.69643,0.75816,0.4604,1.20371,1.91288,0.93505,0.00624,0,0.010193,0.00339766,0.010193,0.00339766,0.010193,0.00339766,0.010193,0.00339766
75,62692.9,1.20569,1.9729,0.9147,0.0036,0.94943,0.77658,0.72148,0.79335,0.56348,0.77368,0.69757,0.75861,0.46045,1.20337,1.91233,0.93396,0.00624,0,0.00982824,0.00327608,0.00982824,0.00327608,0.00982824,0.00327608,0.00982824,0.00327608
76,63521.3,1.20773,1.98006,0.91872,0.00363,0.94289,0.77879,0.71942,0.79369,0.56408,0.77348,0.69785,0.75892,0.46119,1.20278,1.91174,0.93316,0.00624,0,0.00946715,0.00315572,0.00946715,0.00315572,0.00946715,0.00315572,0.00946715,0.00315572
77,64348.7,1.19763,1.95902,0.90709,0.00359,0.92763,0.77892,0.71944,0.79398,0.56445,0.77493,0.69731,0.75897,0.46136,1.20249,1.91133,0.93225,0.00623,0,0.00910996,0.00303665,0.00910996,0.00303665,0.00910996,0.00303665,0.00910996,0.00303665
78,65182.8,1.19699,1.95626,0.9046,0.00359,0.92723,0.77734,0.72062,0.79389,0.56453,0.77324,0.69748,0.75881,0.46152,1.20204,1.91049,0.93182,0.00623,0,0.00875691,0.00291897,0.00875691,0.00291897,0.00875691,0.00291897,0.00875691,0.00291897
79,66009.7,1.1977,1.96156,0.90457,0.00361,0.91709,0.77575,0.72193,0.79454,0.56495,0.77449,0.69529,0.75906,0.46162,1.20138,1.90991,0.93115,0.00622,0,0.00840824,0.00280275,0.00840824,0.00280275,0.00840824,0.00280275,0.00840824,0.00280275
80,66838.9,1.19492,1.95964,0.90637,0.00359,0.92886,0.78088,0.71885,0.79449,0.56495,0.76975,0.70053,0.7596,0.4619,1.20153,1.90932,0.92952,0.00622,0,0.00806419,0.00268806,0.00806419,0.00268806,0.00806419,0.00268806,0.00806419,0.00268806
